,krankenhausStandort/bezeichnung,bettenStatus/statusHighCare,krankenhausStandort/position/latitude,krankenhausStandort/position/longitude,free_icu_beds_percent,staff_utilization_percent
1111,"Krankenhäuser Nürnberger Land GmbH, Krankenhaus Altdorf",BEGRENZT,49.38510192637,11.359442710908999,25,82
1112,"Krankenhaus Rummelsberg GmbH, Krankenhaus Rummelsberg",BEGRENZT,49.362132616063995,11.263945341143,34,84
1113,"Klinikum am Europakanal, Erlangen",BEGRENZT,49.604506581416,10.968613207324,11,84
1114,"Krankenhaus Schwabach gGmbH, Krankenhaus Schwabach",BEGRENZT,49.332652542007,11.01252150529,16,82
1115,"Klinik Donaustauf, Klinik Donaustauf - Krankenhaus",BEGRENZT,49.036663461566,12.207836117595,10,82
1116,"Kliniken Dritter Orden gGmbH, Standort Kinderklinik Passau, Kinderklinik Dritter Orden Passau",BEGRENZT,48.566439437968995,13.446212589724,8,83
1117,"Kliniken am Goldenen Steig gGmbH, Krankenhaus Grafenau",BEGRENZT,48.859193454945,13.392777621730001,8,83
1118,"Klinikum Bayreuth GmbH, Klinik Hohe Warte Bayreuth",BEGRENZT,49.96700357452,11.584785819086001,29,85
1119,"Schön Klinik Bad Staffelstein SE & Co. KG, Hauptstandort",BEGRENZT,50.111161470424996,10.992414593729,26,89
1120,"Bezirksklinikum Obermain, Bezirksklinikum Obermain, Kutzenberg",BEGRENZT,50.049011777247,10.972507238420999,8,89
1121,"Ilm-Kreis-Kliniken Arnstadt-Ilmenau gGmbH, Standort Arnstadt",BEGRENZT,50.8394332429,10.941328201443,6,84
1122,"Sächsisches Krankenhaus Großschweidnitz, SKH Großschweidnitz",NICHT_VERFUEGBAR,51.075454656450994,14.644254036248,4,62
1123,MediClin Waldkrankenhaus Bad Düben,NICHT_VERFUEGBAR,51.598074154315995,12.581506490641999,2,73
1124,"Helios Klinik Köthen GmbH, Hauptstandort",NICHT_VERFUEGBAR,51.746566790074,11.972611034034,1,74
1125,"AMEOS Klinikum Aschersleben-Staßfurt GmbH, AMEOS Klinikum Aschersleben",NICHT_VERFUEGBAR,51.745959978876,11.457869052920001,0,74
1126,"DRK Krankenhaus Lichtenstein GmbH, DRK Krankenhaus Lichtenstein Gemeinnützige GmbH",NICHT_VERFUEGBAR,50.748187961400006,12.635738611352,2,70
1127,"Vivantes ? Netzwerk für Gesundheit GmbH, Humboldt-Klinikum",NICHT_VERFUEGBAR,52.589849052234,13.308975112432,0,70
1128,"Vivantes ? Netzwerk für Gesundheit GmbH, Klinikum Spandau",NICHT_VERFUEGBAR,52.550156762079,13.206896755114,0,72
1129,"Krankenhaus Märkisch- Oderland GmbH, Wriezen 02",NICHT_VERFUEGBAR,52.721589984593,14.127299282627002,0,71
1130,"BDH-Klinik Greifswald gGmbH, Hauptstandort",NICHT_VERFUEGBAR,54.089949792269,13.410030126506,0,75
1131,Helios Kliniken Schwerin GmbH,NICHT_VERFUEGBAR,53.651229285586005,11.406590098276999,4,64
1132,"Regio Kliniken GmbH, Regio Klinikum Pinneberg",NICHT_VERFUEGBAR,53.654589771865,9.811318659622,3,79
1133,"Vinzenzkrankenhaus Hannover GmbH, Hauptstandort",NICHT_VERFUEGBAR,52.359111974164,9.814378201944999,4,69
1134,BDH-Klinik Hessisch Oldendorf gGmbH,NICHT_VERFUEGBAR,52.173538968831,9.249765023585,1,77
1135,"Krankenhaus Lübbecke-Rahden, 01 Lübbecke - Virchowstraße",NICHT_VERFUEGBAR,52.296241420517,8.603555392638,4,77
1136,"Johannes Wesling Klinikum Minden, 02 Rahden - Hohe Mühle",NICHT_VERFUEGBAR,52.430507725111,8.61068096001,4,68
1137,"Auguste Viktoria Klinik, Auguste-Viktoria-Klinik",NICHT_VERFUEGBAR,52.206763235494,8.787186670261,3,67
1138,Krankenhaus Bad Oeynhausen,NICHT_VERFUEGBAR,52.193268327416,8.797191046068999,3,71
1139,"Klinikum Weser-Egge, St. Rochus Krankenhaus",NICHT_VERFUEGBAR,51.856601380292,9.089313268514001,4,61
1140,"Klinikum Weser-Egge, St. Vincenz Hospital",NICHT_VERFUEGBAR,51.727699949219996,9.180609682148,0,64
1141,Vitos Orthopädische Klinik Kassel gGmbH,NICHT_VERFUEGBAR,51.312296957311,9.430117964712,0,72
1142,"Main-Kinzig-Kliniken gGmbH Schlüchtern, Hauptstandort",NICHT_VERFUEGBAR,50.353187255085004,9.527116030422,0,70
1143,"m&i-Fachklinik Bad Liebenstein, Hauptstandort",NICHT_VERFUEGBAR,50.813941312173995,10.353298969567,4,70
1144,"Helios Bördeklinik GmbH, Hauptstandort",NICHT_VERFUEGBAR,52.06547922827,11.189954996371,4,69
1145,"Krankenhaus Mörsenbroich-Rath GmbH, Augusta-Krankenhaus",NICHT_VERFUEGBAR,51.266620908964995,6.824413128197,1,69
1146,"St. Josefs Krankenhaus Hilden, Standort St. Josefs Krankenhaus Hilden",NICHT_VERFUEGBAR,51.168521669350994,6.942881941795,1,63
1147,"Klinikum Vest GmbH, Knappschaftskrankenhaus Recklinghausen",NICHT_VERFUEGBAR,51.620319720706995,7.175755083545001,0,79
1148,"Vestische Kinder- und Jugendklinik Datteln, Datteln",NICHT_VERFUEGBAR,51.642544400362,7.338056087428,2,61
1149,"St.-Clemens-Hospital Geldern, St.-Clemens-Hospital",NICHT_VERFUEGBAR,51.528499725763,6.327309285953,3,68
1150,"St. Josef-Stift Sendenhorst, St. Josef-Stift",NICHT_VERFUEGBAR,51.843295118366,7.821974873559,2,73
1151,"Krankenhaus St. Raphael, Hauptstandort",NICHT_VERFUEGBAR,52.34435720651,8.229503810389,3,67
1152,Maria-Hilf-Krankenhaus,NICHT_VERFUEGBAR,50.952567234358995,6.638102531433001,2,72
1153,Luisenhospital Aachen,NICHT_VERFUEGBAR,50.76760310014,6.076465666310001,2,72
1154,"St. Elisabeth-Krankenhaus Geilenkirchen, Geilenkirchen",NICHT_VERFUEGBAR,50.965685855475996,6.1238356232480005,4,79
1155,"Gemeinschaftskrankenhaus Bonn gGmbH, St. Elisabeth Krankenhaus",NICHT_VERFUEGBAR,50.727158491391,7.102605343061,4,75
1156,"GFO Kliniken Troisdorf, GFO Kliniken Troisdorf Betriebsstätte St. Josef Troisdorf",NICHT_VERFUEGBAR,50.817425951493995,7.159310889033001,2,72
1157,"Klinikum Westfalen GmbH - KKDO, KaP, HK, Hellmig-Krankenhaus Kamen",NICHT_VERFUEGBAR,51.595414117709,7.662745535389999,3,66
1158,"Gesundheitszentrum Wetterau Bad Nauheim-Friedberg-Gedern, Bürgerhospital Friedberg",NICHT_VERFUEGBAR,50.33454382913,8.751370489581,3,64
1159,"Hochtaunus-Kliniken gGmbH, Hochtaunus-Kliniken gGmbH Usingen",NICHT_VERFUEGBAR,50.342836344689,8.530887007746001,2,61
1160,"Asklepios Neurologische Klinik Bad Salzhausen, Asklepios Neurologische Klinik",NICHT_VERFUEGBAR,50.419434739352,8.988189160872999,1,75
1161,"Klinikum Aschaffenburg-Alzenau gemeinnützige GmbH, Standort Alzenau",NICHT_VERFUEGBAR,50.069496701481,9.075521886357,0,61
1162,"Asklepios Schlossberg Klinik Bad König, Hauptstandort",NICHT_VERFUEGBAR,49.74472806966,9.005372303682,0,76
1163,Marienkrankenhaus St. Wendel,NICHT_VERFUEGBAR,49.454133774318,7.178329467806,0,66
1164,"Krankenhaus Zum Guten Hirten Ludwigshafen, Hauptstandort",NICHT_VERFUEGBAR,49.487621874989,8.385319299996,0,61
1165,"Sankt Vincentius Krankenhaus Speyer, Hauptstandort",NICHT_VERFUEGBAR,49.315695817169,8.421648941003,3,63
1166,"Universitätsklinikum Mannheim Gmbh, Hauptstandort",NICHT_VERFUEGBAR,49.49142711994799,8.487168073589,4,66
1167,SRH Kurpfalzkrankenhaus Heidelberg GmbH,NICHT_VERFUEGBAR,49.413576853277995,8.653808355266,0,64
1168,"Robert-Bosch-Krankenhaus, Klinik Schillerhöhe",NICHT_VERFUEGBAR,48.786542816907996,9.074158251268999,4,64
1169,Neckar-Odenwald-Kliniken gGmbH Krankenhaus Buchen,NICHT_VERFUEGBAR,49.524353475073994,9.308266818507,4,78
1170,"Kliniken des Landkreises Karlsruhe, Fürst-Stirum-Klinik Bruchsal",NICHT_VERFUEGBAR,49.132336821513995,8.603484213336001,3,72
1171,Helios Klinik München Perlach GmbH,NICHT_VERFUEGBAR,48.102224465802,11.629772381857,1,75
1172,InnKlinikum Burghausen,NICHT_VERFUEGBAR,48.168152076472,12.841664001342002,1,64
1173,"Kliniken an der Paar - Krankenhaus Friedberg, Hauptstandort",NICHT_VERFUEGBAR,48.356108226070994,10.986170947535,3,65
1174,"Donau-Ries Kliniken, Donau-Ries Klinik Donauwörth",NICHT_VERFUEGBAR,48.724110670375005,10.754439353959,0,67
1175,"m&i-Fachklinik Herzogenaurach, Hauptstandort",NICHT_VERFUEGBAR,49.577071297512,10.870107002555999,4,61
1176,"ANregiomed gKU, Klinik Rothenburg",NICHT_VERFUEGBAR,49.377444935873,10.199910879201,3,73
1177,Arberlandklinik Zwiesel,NICHT_VERFUEGBAR,49.007379382061,13.217880964312,3,75
1178,Arberlandklinik Viechtach,NICHT_VERFUEGBAR,49.08541733437801,12.875766277330001,3,75
1179,"DONAUISAR Klinikum Deggendorf-Dingolfing-Landau gKU, DONAUISAR Klinikum Landau",NICHT_VERFUEGBAR,48.665549695572004,12.703128576213,1,73
1180,"Klinik Bavaria Bad Kissingen, Neurologisches Fach- und Privatkrankenhaus, Hauptstandort",NICHT_VERFUEGBAR,50.198267164412,10.084851589054,3,74
